,n steps,ACC,ROC AUC,PR AUC,eps
30,30,0.14242424242424243,0.13836528717089616,0.47901065104843016,0.005623413251903491
31,31,0.13780303030303032,0.13385762445450972,0.4794395667625952,0.005623413251903491
32,32,0.13386363636363635,0.12997697393366564,0.4803791019162384,0.005623413251903491
33,33,0.12984848484848485,0.12605668272976087,0.4808160196996921,0.005623413251903491
34,34,0.12575757575757576,0.12206779590908154,0.4811818931254635,0.005623413251903491
35,35,0.12121212121212122,0.11763355463175526,0.4816232105570219,0.005623413251903491
36,36,0.1171969696969697,0.11371808925013616,0.4819927636562527,0.005623413251903491
37,37,0.11454545454545455,0.11113868723845767,0.4821409860085653,0.005623413251903491
38,38,0.11204545454545455,0.10869647646032828,0.4824383342100997,0.005623413251903491
39,39,0.10818181818181818,0.1049133764899726,0.4830359727024745,0.005623413251903491
40,40,0.10568181818181818,0.10249046900098584,0.48303593832819897,0.005623413251903491
41,41,0.10287878787878788,0.09976422411118693,0.48318593345049377,0.005623413251903491
42,42,0.1006060606060606,0.09754710347252382,0.4834113956466069,0.005623413251903491
43,43,0.09833333333333333,0.09533963447843204,0.48348666028829496,0.005623413251903491
44,44,0.09606060606060605,0.0931321654843402,0.4835619862318825,0.005623413251903491
45,45,0.09393939393939393,0.09106188772379749,0.48378832767858565,0.005623413251903491
46,46,0.09106060606060606,0.08826222139493843,0.48393950548217557,0.005623413251903491
47,47,0.08893939393939394,0.08620159527896704,0.48401517927225024,0.005623413251903491
48,48,0.08674242424242425,0.08407237354622103,0.4840151791302076,0.005623413251903491
49,49,0.0846969696969697,0.0820899946915955,0.48401517899926155,0.005623413251903491
50,50,0.08257575757575758,0.08003419439790975,0.48401517886477097,0.005623413251903491
0,0,0.7646212121212121,0.7645250356766149,0.6900351660988642,0.03162277660168379
1,1,0.7646212121212121,0.7645250356766149,0.6900351660988642,0.03162277660168379
2,2,0.5821212121212122,0.5797915244772601,0.5316807892811414,0.03162277660168379
3,3,0.4071212121212121,0.40244738130200686,0.44913298231141696,0.03162277660168379
4,4,0.2818939393939394,0.2760821906475564,0.45188629719436907,0.03162277660168379
5,5,0.21878787878787878,0.21312210019785868,0.46891807005498304,0.03162277660168379
6,6,0.18181818181818182,0.17664095192791596,0.47761866643397766,0.03162277660168379
7,7,0.1593939393939394,0.15467174067409847,0.4811129234940174,0.03162277660168379
8,8,0.14015151515151514,0.13590687541795068,0.48288681323892596,0.03162277660168379
9,9,0.12424242424242424,0.12043046334787974,0.48378836235534944,0.03162277660168379
10,10,0.11037878787878788,0.10697986253300516,0.484015180739152,0.03162277660168379
11,11,0.09954545454545455,0.09647577092511012,0.48409090909090907,0.03162277660168379
12,12,0.09090909090909091,0.08810572687224671,0.48409090909090907,0.03162277660168379
13,13,0.08106060606060606,0.07856093979441997,0.48409090909090907,0.03162277660168379
14,14,0.07196969696969698,0.06975036710719529,0.48409090909090907,0.03162277660168379
15,15,0.06515151515151515,0.06314243759177679,0.48409090909090907,0.03162277660168379
16,16,0.05795454545454545,0.05616740088105726,0.48409090909090907,0.03162277660168379
17,17,0.05303030303030303,0.05139500734214392,0.48409090909090907,0.03162277660168379
18,18,0.04772727272727273,0.04625550660792954,0.48409090909090907,0.03162277660168379
19,19,0.04348484848484849,0.04214390602055801,0.48409090909090907,0.03162277660168379
20,20,0.03893939393939394,0.037738619676945695,0.48409090909090907,0.03162277660168379
21,21,0.03590909090909091,0.03480176211453745,0.48409090909090907,0.03162277660168379
22,22,0.03196969696969697,0.03098384728340675,0.48409090909090907,0.03162277660168379
23,23,0.02984848484848485,0.028928046989721012,0.48409090909090907,0.03162277660168379
24,24,0.026060606060606062,0.025256975036710705,0.48409090909090907,0.03162277660168379
25,25,0.02462121212121212,0.023861967694566832,0.48409090909090907,0.03162277660168379
26,26,0.022272727272727274,0.021585903083700453,0.48409090909090907,0.03162277660168379
27,27,0.02090909090909091,0.02026431718061672,0.48409090909090907,0.03162277660168379
28,28,0.019621212121212123,0.019016152716593238,0.48409090909090907,0.03162277660168379
29,29,0.017727272727272727,0.017180616740088084,0.48409090909090907,0.03162277660168379
30,30,0.016742424242424243,0.016226138032305437,0.48409090909090907,0.03162277660168379
31,31,0.015984848484848484,0.015491923641703376,0.48409090909090907,0.03162277660168379
32,32,0.015151515151515152,0.014684287812041119,0.48409090909090907,0.03162277660168379
33,33,0.01446969696969697,0.014023494860499253,0.48409090909090907,0.03162277660168379
34,34,0.013181818181818182,0.01277533039647577,0.48409090909090907,0.03162277660168379
35,35,0.013106060606060605,0.012701908957415575,0.48409090909090907,0.03162277660168379
